Season,Venue,Date,Place,Name,Round1,Round2,Round3,Total,ToPar
2022,London,2022-06-09,1,Charl Schwartzel,65,66.0,72.0,203.0,-7.0
2022,London,2022-06-09,2,Hennie du Plessis,66,68.0,70.0,204.0,-6.0
2022,London,2022-06-09,T3,Branden Grace,68,72.0,65.0,205.0,-5.0
2022,London,2022-06-09,T3,Peter Uihlein,70,66.0,69.0,205.0,-5.0
2022,London,2022-06-09,5,Sam Horsfield,69,70.0,68.0,207.0,-3.0
2022,London,2022-06-09,T6,Adrian Otaegui,70,70.0,68.0,208.0,-2.0
2022,London,2022-06-09,T6,Oliver Bekker,70,67.0,71.0,208.0,-2.0
2022,London,2022-06-09,8,Dustin Johnson,69,70.0,70.0,209.0,-1.0
2022,London,2022-06-09,9,Talor Gooch,71,70.0,69.0,210.0,0.0
2022,London,2022-06-09,T10,Graeme McDowell,74,71.0,66.0,211.0,1.0
2022,London,2022-06-09,T10,Justin Harding,68,74.0,69.0,211.0,1.0
2022,London,2022-06-09,T10,Louis Oosthuizen,72,69.0,70.0,211.0,1.0
2022,London,2022-06-09,T13,Pablo Larrazabal,72,69.0,71.0,212.0,2.0
2022,London,2022-06-09,T13,Ryosuke Kinoshita,73,67.0,72.0,212.0,2.0
2022,London,2022-06-09,T15,Martin Kaymer,74,70.0,69.0,213.0,3.0
2022,London,2022-06-09,T15,Jinichiro Kozuma,73,70.0,70.0,213.0,3.0
2022,London,2022-06-09,T17,Richard Bland,73,74.0,67.0,214.0,4.0
2022,London,2022-06-09,T17,Laurie Canter,69,74.0,71.0,214.0,4.0
2022,London,2022-06-09,T17,J.C. Ritchie,73,70.0,71.0,214.0,4.0
2022,London,2022-06-09,T20,Ian Poulter,75,66.0,74.0,215.0,5.0
2022,London,2022-06-09,T20,Scott Vincent,67,72.0,76.0,215.0,5.0
2022,London,2022-06-09,T22,Shaun Norris,73,72.0,71.0,216.0,6.0
2022,London,2022-06-09,T22,Wade Ormsby,71,72.0,73.0,216.0,6.0
2022,London,2022-06-09,T22,Sergio Garcia,71,70.0,75.0,216.0,6.0
2022,London,2022-06-09,T25,Matt Jones,74,70.0,73.0,217.0,7.0
2022,London,2022-06-09,T25,James Piot,71,73.0,73.0,217.0,7.0
2022,London,2022-06-09,T25,Ian Snyman,71,71.0,75.0,217.0,7.0
2022,London,2022-06-09,T25,Phachara Khongwatmai,67,72.0,78.0,217.0,7.0
2022,London,2022-06-09,29,Lee Westwood,75,71.0,72.0,218.0,8.0
2022,London,2022-06-09,T30,Hudson Swafford,77,73.0,69.0,219.0,9.0
2022,London,2022-06-09,T30,Viraj Madappa,71,74.0,74.0,219.0,9.0
2022,London,2022-06-09,T30,Jediah Morgan,73,70.0,76.0,219.0,9.0
2022,London,2022-06-09,T33,Kevin Yuan,73,72.0,75.0,220.0,10.0
2022,London,2022-06-09,T33,Phil Mickelson,69,75.0,76.0,220.0,10.0
2022,London,2022-06-09,T33,Kevin Na,73,71.0,76.0,220.0,10.0
2022,London,2022-06-09,T33,Travis Smyth,75,69.0,76.0,220.0,10.0
2022,London,2022-06-09,T33,Chase Koepka,70,72.0,78.0,220.0,10.0
2022,London,2022-06-09,T38,Blake Windred,78,72.0,71.0,221.0,11.0
2022,London,2022-06-09,T38,Oliver Fisher,73,76.0,72.0,221.0,11.0
2022,London,2022-06-09,T38,David Puig,74,74.0,73.0,221.0,11.0
2022,London,2022-06-09,T38,Hideto Tanihara,70,77.0,74.0,221.0,11.0
2022,London,2022-06-09,T38,Ratchanon Chantananuwat,73,70.0,78.0,221.0,11.0
2022,London,2022-06-09,43,Sihwan Kim,78,69.0,76.0,223.0,13.0
2022,London,2022-06-09,44,Bernd Wiesberger,77,72.0,75.0,224.0,14.0
2022,London,2022-06-09,45,Turk Pettit,75,80.0,70.0,225.0,15.0
2022,London,2022-06-09,46,Sadom Kaewkanjana,76,79.0,72.0,227.0,17.0
2022,London,2022-06-09,47,Itthipat Buranatanyarat,76,82.0,75.0,233.0,23.0
2022,London,2022-06-09,48,Andy Ogletree,82,77.0,75.0,234.0,24.0
2022,Portland,2022-06-30,1,Branden Grace,69,69.0,65.0,203.0,-13.0
2022,Portland,2022-06-30,2,Carlos Ortiz,67,69.0,69.0,205.0,-11.0
2022,Portland,2022-06-30,T3,Dustin Johnson,68,68.0,71.0,207.0,-9.0
2022,Portland,2022-06-30,T3,Patrick Reed,72,68.0,67.0,207.0,-9.0
2022,Portland,2022-06-30,5,Louis Oosthuizen,71,69.0,69.0,209.0,-7.0
2022,Portland,2022-06-30,6,Jinichiro Kozuma,71,69.0,70.0,210.0,-6.0
2022,Portland,2022-06-30,7,Talor Gooch,72,70.0,70.0,212.0,-4.0
2022,Portland,2022-06-30,T8,Justin Harding,72,67.0,74.0,213.0,-3.0
2022,Portland,2022-06-30,T8,Matthew Wolff,72,71.0,70.0,213.0,-3.0
2022,Portland,2022-06-30,10,Bryson DeChambeau,72,69.0,73.0,214.0,-2.0
2022,Portland,2022-06-30,T11,Abraham Ancer,73,71.0,71.0,215.0,-1.0
2022,Portland,2022-06-30,T11,Sam Horsfield,73,68.0,74.0,215.0,-1.0
2022,Portland,2022-06-30,T11,Yuki Inamori,71,73.0,71.0,215.0,-1.0
2022,Portland,2022-06-30,T11,Sihwan Kim,72,68.0,75.0,215.0,-1.0
2022,Portland,2022-06-30,T11,Kevin Na,75,68.0,72.0,215.0,-1.0
2022,Portland,2022-06-30,T16,Matt Jones,72,72.0,72.0,216.0,0.0
2022,Portland,2022-06-30,T16,Martin Kaymer,71,72.0,73.0,216.0,0.0
2022,Portland,2022-06-30,T16,Brooks Koepka,70,70.0,76.0,216.0,0.0
2022,Portland,2022-06-30,T16,Hideto Tanihara,69,75.0,72.0,216.0,0.0
2022,Portland,2022-06-30,T16,Lee Westwood,76,71.0,69.0,216.0,0.0
2022,Portland,2022-06-30,21,Adrian Otaegui,74,72.0,71.0,217.0,1.0
2022,Portland,2022-06-30,22,James Piot,73,76.0,69.0,218.0,2.0
2022,Portland,2022-06-30,T23,Ryosuke Kinoshita,75,71.0,73.0,219.0,3.0
2022,Portland,2022-06-30,T23,Chase Koepka,73,74.0,72.0,219.0,3.0
